RUSHING_2023_RUSHING_2023_Rank,RUSHING_2023_RUSHING_2023_Player,RUSHING_2023_RUSHING_2023_JerseyNumber,RUSHING_2023_RUSHING_2023_Position,RUSHING_2023_RUSHING_2023_GamesPlayed,RUSHING_2023_RUSHING_2023_RushingTotalSnaps,RUSHING_2023_RUSHING_2023_RushingAttempts,RUSHING_2023_RUSHING_2023_RushingYards,RUSHING_2023_RUSHING_2023_RushingYardsPerAttempt,RUSHING_2023_RUSHING_2023_RushingTouchdowns,RUSHING_2023_RUSHING_2023_RushingFumbles,RUSHING_2023_RUSHING_2023_RushingOverallGrade,RUSHING_2023_RUSHING_2023_RushingGrade,RUSHING_2023_RUSHING_2023_RushingFumbles.1,RUSHING_2023_RUSHING_2023_RushingRunBlockingGrade,RUSHING_2023_RUSHING_2023_RushingYardsAfterContact,RUSHING_2023_RUSHING_2023_RushingYardsAfterContactPerAttempt,RUSHING_2023_RUSHING_2023_RushingMissedTacklesForced,RUSHING_2023_RUSHING_2023_RushingLongestRush,RUSHING_2023_RUSHING_2023_Rushing10PlusYardRuns,RUSHING_2023_RUSHING_2023_RushingYardsInZoneScheme,RUSHING_2023_RUSHING_2023_RushingYardsInGapScheme,RUSHING_2023_RUSHING_2023_RushingScrambles,RUSHING_2023_RUSHING_2023_RushingScrambleYards,RUSHING_2023_RUSHING_2023_RushingDesignedYards,RUSHING_2023_RUSHING_2023_Rushing15PlusYardRuns,RUSHING_2023_RUSHING_2023_RushingBreakawayYards,RUSHING_2023_RUSHING_2023_RushingBreakawayPercentage,RUSHING_2023_RUSHING_2023_RushingFirstDowns,RUSHING_2023_RUSHING_2023_RushingPenalties,RUSHING_2023_RUSHING_2023_RushingReceivingGrade,RUSHING_2023_RUSHING_2023_RushingPassBlockingGrade,RUSHING_2023_RUSHING_2023_RushingTargets,RUSHING_2023_RUSHING_2023_RushingReceptions,RUSHING_2023_RUSHING_2023_RushingReceivingYards,RUSHING_2023_RUSHING_2023_RushingReceivingSnaps,RUSHING_2023_RUSHING_2023_RushingYardsPerRouteRun,RUSHING_2023_RUSHING_2023_RushingDrops,RUSHING_2023_RUSHING_2023_RushingElusiveRating
1.0,Emari Demercado,#31,HB,14.0,74.0,58.0,284,4.9,2.0,0.0,73.4,89.9,84.9,40.7,205.0,3.53,11.0,49.0,5.0,31.0,26.0,0.0,0.0,284,2.0,67.0,23.6,12.0,0 (0),44.7,74.7,29.0,21.0,119.0,164.0,0.73,2.0,62.6
2.0,James Conner,#06,HB,13.0,262.0,208.0,"1,040",5.0,7.0,0.0,89.2,88.4,90.8,68.9,818.0,3.93,60.0,44.0,31.0,89.0,115.0,0.0,0.0,"1,040",13.0,328.0,31.5,57.0,0 (0),69.2,68.0,31.0,27.0,165.0,201.0,0.82,0.0,110.5
3.0,Joshua Dobbs,#09,QB,8.0,208.0,47.0,258,5.5,3.0,9.0,61.0,84.0,49.6,60.4,176.0,3.74,13.0,44.0,8.0,7.0,9.0,13.0,139.0,119,2.0,69.0,26.7,19.0,2 (0),-,-,0.0,0.0,0.0,0.0,,0.0,56.1
4.0,Michael Carter,#22,HB,6.0,27.0,22.0,149,6.8,0.0,0.0,76.6,79.6,79.1,60.0,68.0,3.09,6.0,21.0,6.0,11.0,10.0,0.0,0.0,149,6.0,108.0,72.5,7.0,0 (0),66.8,80.7,12.0,9.0,33.0,48.0,0.69,0.0,69.8
5.0,Kyler Murray,#01,QB,8.0,212.0,44.0,244,5.5,3.0,7.0,70.8,77.8,59.7,60.2,71.0,1.61,8.0,33.0,9.0,13.0,9.0,16.0,161.0,83,2.0,30.0,12.3,15.0,5 (1),-,-,0.0,0.0,0.0,0.0,,0.0,10.3
6.0,Rondale Moore,#04,WR,17.0,238.0,28.0,178,6.4,1.0,1.0,53.6,72.4,51.2,54.0,63.0,2.25,5.0,45.0,3.0,6.0,12.0,0.0,0.0,178,3.0,101.0,56.7,5.0,0 (0),50.5,-,61.0,40.0,352.0,479.0,0.73,5.0,39.7
7.0,Damien Williams,#29,HB,3.0,15.0,11.0,43,3.9,0.0,0.0,72.7,70.7,74.4,59.4,34.0,3.09,3.0,9.0,0.0,7.0,4.0,0.0,0.0,43,0.0,0.0,0.0,1.0,0 (0),66.7,80.2,2.0,2.0,12.0,10.0,1.2,0.0,95.1
8.0,Keaontay Ingram,#30,HB,7.0,46.0,35.0,74,2.1,0.0,0.0,64.7,66.1,81.1,66.4,75.0,2.14,7.0,14.0,4.0,21.0,14.0,0.0,0.0,74,0.0,0.0,0.0,4.0,0 (0),55.0,60.8,4.0,4.0,26.0,51.0,0.51,0.0,44.0
9.0,Clayton Tune,#15,QB,7.0,25.0,8.0,30,3.8,1.0,2.0,34.2,65.6,78.8,60.0,23.0,2.88,0.0,11.0,1.0,0.0,0.0,5.0,28.0,2,0.0,0.0,0.0,3.0,0 (0),-,-,0.0,0.0,0.0,0.0,,0.0,0.0
10.0,Blake Gillikin,#12,P,3.0,1.0,1.0,10,10.0,0.0,0.0,62.8,63.1,61.9,-,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,1.0,0 (0),56.9,-,0.0,0.0,0.0,2.0,0.0,0.0,0.0
