RUSHING_2023_RUSHING_2023_Rank,RUSHING_2023_RUSHING_2023_Player,RUSHING_2023_RUSHING_2023_JerseyNumber,RUSHING_2023_RUSHING_2023_Position,RUSHING_2023_RUSHING_2023_GamesPlayed,RUSHING_2023_RUSHING_2023_RushingTotalSnaps,RUSHING_2023_RUSHING_2023_RushingAttempts,RUSHING_2023_RUSHING_2023_RushingYards,RUSHING_2023_RUSHING_2023_RushingYardsPerAttempt,RUSHING_2023_RUSHING_2023_RushingTouchdowns,RUSHING_2023_RUSHING_2023_RushingFumbles,RUSHING_2023_RUSHING_2023_RushingOverallGrade,RUSHING_2023_RUSHING_2023_RushingGrade,RUSHING_2023_RUSHING_2023_RushingFumbles.1,RUSHING_2023_RUSHING_2023_RushingRunBlockingGrade,RUSHING_2023_RUSHING_2023_RushingYardsAfterContact,RUSHING_2023_RUSHING_2023_RushingYardsAfterContactPerAttempt,RUSHING_2023_RUSHING_2023_RushingMissedTacklesForced,RUSHING_2023_RUSHING_2023_RushingLongestRush,RUSHING_2023_RUSHING_2023_Rushing10PlusYardRuns,RUSHING_2023_RUSHING_2023_RushingYardsInZoneScheme,RUSHING_2023_RUSHING_2023_RushingYardsInGapScheme,RUSHING_2023_RUSHING_2023_RushingScrambles,RUSHING_2023_RUSHING_2023_RushingScrambleYards,RUSHING_2023_RUSHING_2023_RushingDesignedYards,RUSHING_2023_RUSHING_2023_Rushing15PlusYardRuns,RUSHING_2023_RUSHING_2023_RushingBreakawayYards,RUSHING_2023_RUSHING_2023_RushingBreakawayPercentage,RUSHING_2023_RUSHING_2023_RushingFirstDowns,RUSHING_2023_RUSHING_2023_RushingPenalties,RUSHING_2023_RUSHING_2023_RushingReceivingGrade,RUSHING_2023_RUSHING_2023_RushingPassBlockingGrade,RUSHING_2023_RUSHING_2023_RushingTargets,RUSHING_2023_RUSHING_2023_RushingReceptions,RUSHING_2023_RUSHING_2023_RushingReceivingYards,RUSHING_2023_RUSHING_2023_RushingReceivingSnaps,RUSHING_2023_RUSHING_2023_RushingYardsPerRouteRun,RUSHING_2023_RUSHING_2023_RushingDrops,RUSHING_2023_RUSHING_2023_RushingElusiveRating
1.0,Tyler Allgeier,#25,HB,17.0,212.0,186.0,683.0,3.7,4.0,0.0,82.9,78.0,90.6,43.4,549.0,2.95,39.0,31.0,13.0,131.0,51.0,0.0,0.0,683.0,3.0,72.0,10.5,41.0,0 (0),81.0,90.3,22.0,18.0,193.0,108.0,1.79,0.0,62.2
2.0,Bijan Robinson,#07,HB,17.0,272.0,214.0,969.0,4.5,4.0,4.0,69.1,75.1,37.8,35.5,663.0,3.1,52.0,38.0,30.0,146.0,63.0,0.0,0.0,969.0,10.0,237.0,24.5,51.0,2 (0),61.5,56.8,83.0,58.0,487.0,421.0,1.16,5.0,78.6
3.0,Taylor Heinicke,#04,QB,5.0,110.0,15.0,124.0,8.3,1.0,1.0,52.5,70.7,67.2,60.9,29.0,1.93,2.0,24.0,7.0,0.0,0.0,13.0,125.0,-1.0,0.0,0.0,0.0,5.0,0 (0),-,-,0.0,0.0,0.0,0.0,,0.0,0.0
4.0,Cordarrelle Patterson,#84,HB,14.0,85.0,50.0,180.0,3.6,0.0,1.0,62.7,66.3,53.3,58.1,165.0,3.3,11.0,18.0,5.0,26.0,22.0,0.0,0.0,180.0,1.0,18.0,10.0,9.0,0 (0),56.3,78.3,11.0,9.0,38.0,85.0,0.45,1.0,61.5
5.0,Logan Woodside,#11,QB,1.0,4.0,1.0,6.0,6.0,0.0,0.0,24.8,58.3,68.9,60.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0 (0),-,-,0.0,0.0,0.0,0.0,,0.0,100.0
6.0,Jonnu Smith,#81,TE,17.0,214.0,1.0,0.0,0.0,0.0,1.0,59.1,56.9,37.5,43.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,5 (2),63.5,75.4,69.0,50.0,582.0,375.0,1.55,5.0,27.5
7.0,KhaDarel Hodge,#12,WR,17.0,179.0,1.0,0.0,0.0,0.0,1.0,62.4,49.4,22.4,50.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0 (0),64.9,68.1,23.0,14.0,232.0,183.0,1.27,2.0,0.0
8.0,Desmond Ridder,#09,QB,15.0,382.0,53.0,193.0,3.6,5.0,12.0,51.9,48.8,27.6,60.3,51.0,0.96,2.0,23.0,6.0,7.0,12.0,19.0,129.0,64.0,1.0,23.0,11.9,18.0,5 (0),57.6,61.3,1.0,1.0,-6.0,1.0,-6.0,0.0,1.9
9.0,Kyle Pitts,#08,TE,17.0,230.0,1.0,-4.0,-4.0,0.0,0.0,68.1,-,79.7,31.2,1.0,1.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,4 (2),72.7,77.6,86.0,53.0,667.0,466.0,1.43,2.0,3.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
